,loxVent,kerVent,loxDrip,kerDrip,loxPressurant,kerPressurant,loxFlow,kerFlow,kerOrifice,loxPurge,kerPurge
ONLINE_SAFE_D,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
,prevents any possible premature pressurization,prevents any possible premature pressurization,maximizes prevention of premature pressurization,maximizes prevention of premature pressurization,prevents undesired fluid from entering feedline system; not used as a vent,prevents undesired fluid from entering feedline system; not used as a vent,prevents undesired fluid from entering feedline system; not used as a vent,prevents undesired fluid from entering feedline system; not used as a vent,,prevents undesired fluid from entering feedline system; not used as a vent,prevents blah
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
KERO_FILL,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
KERO_FILLED,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
LOX_FILL,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
LOX_FILLED,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
ALL_READY_TO_PRESSURIZE,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
ALL_PRESSURIZING,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
ALL_FLOW_closed,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
ALL_FLOW_open,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,OPEN,OPEN,OPEN,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
KERO_FLOW_closed,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
KERO_FLOW_open,CLOSED,CLOSED,CLOSED,CLOSED,OPEN,OPEN,CLOSED,OPEN,OPEN,CLOSED,CLOSED
,,,,,,,,,,,
,report,report,report,report,report,report,report,report,report,report,report
,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance,noncompliance
